Task,Description,Success Rate (%),Future lpips,Future num_future_frames,Future psnr,Future ssim,Future wavelet_hh_mse,Future wavelet_high_mse,Future wavelet_hl_mse,Future wavelet_lh_mse,Future wavelet_ll_mse,Future wavelet_temporal_high_mse,Future wavelet_temporal_low_mse,Future gfvd
libero_10_0,put both the alphabet soup and the tomato sauce in the basket,100.0,0.11332671657008433,1.9897354497354498,25.430916177887035,0.8713580899205837,0.00015640797457396757,0.0007802426864769515,0.0010824305998948446,0.001101889484962042,0.01295024197006181,0.00312562884296536,0.004475422615071379,47.74966418849688
libero_10_1,put both the cream cheese box and the butter in the basket,100.0,0.12601367998689436,2.0,25.677064757886136,0.8798797210585514,0.00012866486674110018,0.0007278846389790722,0.0011169679868286472,0.0009380210633674688,0.012472276198030879,0.003129092250746907,0.004198872568349119,47.16400045797685
libero_10_2,turn on the stove and put the moka pot on it,100.0,0.09694687175733063,1.9869400527009222,23.410894845497623,0.8825655671872875,0.0002853485825723602,0.0011467953585028337,0.0015317094677983526,0.0016233280251377886,0.019336611487283044,0.004437442644525219,0.006981372346939437,43.35275299135439
libero_10_3,put the black bowl in the bottom drawer of the cabinet and close it,100.0,0.10120425953798202,1.9851913875598086,24.655080526047293,0.8902824487738986,0.000331106964498871,0.0011239582374724302,0.0015632684935436493,0.00147749925437477,0.013182593116567613,0.003537282472192871,0.004781083729421158,40.93765786833212
libero_10_4,put the white mug on the left plate and put the yellow and white mug on the right plate,90.0,0.10110807071492334,1.9778138528138527,25.960337589189606,0.9042075702560929,0.00014636069977833746,0.0006644547902492292,0.0010365491424013408,0.0008104545285680092,0.011803377573457757,0.002327793475457176,0.0046288403216639875,43.434141968199434
libero_10_5,pick up the book and place it in the back compartment of the caddy,100.0,0.07781848515513554,1.9721029411764708,28.528343754712274,0.9179443311518899,9.374607169602136e-05,0.00041022143336532377,0.00045995774840647594,0.0006769604799934741,0.006765777233471026,0.0014264774460752958,0.002464312982905825,30.2497475726232
libero_10_6,put the white mug on the plate and put the chocolate pudding to the right of the plate,100.0,0.09813409305516582,1.9821781479390175,25.753558656443722,0.8987120397002956,0.00017133086876751995,0.0007627421394684003,0.0011476540380660912,0.0009692415115715898,0.011251166647130686,0.002635809876802471,0.004097561662599069,39.81145837570198
libero_10_7,put both the alphabet soup and the cream cheese box in the basket,100.0,0.11182336332296097,1.9835,25.81640620424248,0.8832433854397264,0.0001517587143511137,0.0007266724753808145,0.0010560224303883367,0.0009722362814029928,0.014313296096991779,0.0034559717818054203,0.004656781390215926,48.89915420342189
libero_10_8,put both moka pots on the stove,100.0,0.08106913621996753,1.9814830555844676,25.464333790234175,0.9177735284457713,0.00023708963315762177,0.0008379719301927494,0.0011380640723242942,0.001138762085096332,0.010836064803596737,0.0026978633405730984,0.003892158810382562,24.348458832718627
libero_10_9,put the yellow and white mug in the microwave and close it,100.0,0.10389498687310153,1.988307692307692,23.815599994365986,0.9055300434301973,0.00020310960724012421,0.0008475723857756676,0.0011088934007240378,0.0012307141493628408,0.018575992866793494,0.004378478985921453,0.006135499247704438,32.191919286108174
libero_goal_0,open the middle drawer of the cabinet,100.0,0.10368508088668853,1.967099567099567,24.92347162616995,0.8803938822377295,0.00024371748629775837,0.0008936366670881163,0.0012012982140556104,0.00123589430091098,0.011960542521608823,0.0032360379007647126,0.004067513251455722,49.87365580270899
