Task,Description,Success Rate (%),Future lpips,Future num_future_frames,Future psnr,Future ssim,Future wavelet_hh_mse,Future wavelet_high_mse,Future wavelet_hl_mse,Future wavelet_lh_mse,Future wavelet_ll_mse,Future wavelet_temporal_high_mse,Future wavelet_temporal_low_mse,Future gfvd
libero_10_0,put both the alphabet soup and the tomato sauce in the basket,100.0,0.10912861910671959,1.9889568764568764,25.848418264037708,0.8766082378074375,0.00015559561294212679,0.0007667032796468432,0.001043598269484788,0.0011009159565136151,0.01178115856460964,0.00288343055998536,0.004148527673890554,46.51859505505773
libero_10_1,put both the cream cheese box and the butter in the basket,100.0,0.12458097460061528,1.9958333333333331,25.96466167700118,0.8824050429808921,0.0001314254043132625,0.0007306172484240609,0.0011047191813569584,0.0009557071596019617,0.01169257012447612,0.0028499464735155084,0.004041441338361187,46.566539267875804
libero_10_2,turn on the stove and put the moka pot on it,100.0,0.09240435337362421,1.9874855072463766,23.760270101882902,0.8867956648365928,0.0002862194768351314,0.0011201375266618918,0.0014891717361313881,0.001585021367019156,0.017688694561661493,0.004227287619091548,0.0063597526131107095,44.76954296937072
libero_10_3,put the black bowl in the bottom drawer of the cabinet and close it,100.0,0.09630562633042147,1.9761471861471862,25.15066219775708,0.8963259164324571,0.0003368247649755235,0.0010845800555900318,0.0014988948228471413,0.00141802057894743,0.011524105740573007,0.0032970041323982452,0.004198057458219282,42.1232910716903
libero_10_4,put the white mug on the left plate and put the yellow and white mug on the right plate,90.0,0.09878845231227176,1.9906926406926408,26.25954055009085,0.9082926419882165,0.0001478222619018835,0.0006424069483346614,0.0009927286269584433,0.0007866699561436578,0.010647375103753524,0.002267730087935621,0.004036067191677328,42.13268451889611
libero_10_5,pick up the book and place it in the back compartment of the caddy,100.0,0.07258196661086172,2.0,29.11822741133681,0.9233045738355135,9.190175058915646e-05,0.00038779557646022094,0.0004239524968562691,0.0006475324819352373,0.006044959420170365,0.0012831285808478153,0.002321044344802765,31.47711956142017
libero_10_6,put the white mug on the plate and put the chocolate pudding to the right of the plate,100.0,0.09530175713640371,1.9904761904761905,26.406783420137053,0.9040467688345233,0.0001704051174491881,0.0007208019685763071,0.0010853153612614904,0.0009066854270182436,0.009437957169103268,0.002299664653622377,0.0034567803838803195,43.47070618210013
libero_10_7,put both the alphabet soup and the cream cheese box in the basket,100.0,0.110539825182013,1.9918333333333333,26.17860175308785,0.8853584491949779,0.000156115788919809,0.0007180937551009698,0.0010199891384515957,0.000978176337931505,0.013595907101254653,0.003425962247876599,0.004395547205177262,46.77052884053946
libero_10_8,put both moka pots on the stove,100.0,0.07897784765695393,1.9901444788441693,25.787402382142044,0.9194705117188423,0.0002378223211712402,0.0008199749901531162,0.0011256403394439053,0.001096462309844203,0.010335388422815502,0.0026128594709514423,0.003768710679563656,27.06858430223424
libero_10_9,put the yellow and white mug in the microwave and close it,100.0,0.09799975328096536,1.9796393534002228,24.265649241937574,0.9107934067657626,0.000202192467864752,0.000818075218425423,0.0010482184084110186,0.0012038147790004979,0.01670278224889568,0.004035171705066902,0.005357898761119029,30.772847476146627
libero_goal_0,open the middle drawer of the cabinet,100.0,0.09891456942837853,1.9761904761904763,25.28424403471348,0.8842674195880577,0.0002487050215282065,0.0008701936053522119,0.0011791085540101653,0.001182767240518264,0.011119906834176348,0.0030517773718867465,0.0038243042973685887,49.899970558925205
libero_goal_1,put the bowl on the stove,100.0,0.09974165209051636,1.9666666666666668,25.65463318559859,0.878988833891021,0.00029303877460430764,0.0010392964516237647,0.0014338418507476387,0.0013910087295193484,0.010415664630191815,0.0029824417739291675,0.003919607141708387,55.274916962622356
libero_goal_2,put the wine bottle on top of the cabinet,90.0,0.09871261249503328,1.9330555555555555,24.772140674061244,0.8790977840622265,0.00023082058591373627,0.0009032881821164025,0.0011053902770476675,0.0013736536833878039,0.013705257527763023,0.003363023345263505,0.004880493765434487,70.6710224292286
libero_goal_3,open the top drawer and put the bowl inside,100.0,0.09959992516804916,1.9944444444444442,24.68935837960404,0.880646122005782,0.0002641262025687924,0.001002847348416659,0.0013195301073975966,0.0014248857352835887,0.013677423870689728,0.0034060714162787637,0.004867139298276842,38.628147635485625
libero_goal_4,put the bowl on top of the cabinet,100.0,0.10833265655634242,1.9444444444444442,24.186466465648426,0.851483980184182,0.00036663241051770515,0.0012934870067855553,0.0017504810016680885,0.0017633476081708721,0.01381619907537491,0.0035789472151708857,0.005177247914402053,67.11141072651533
libero_goal_5,push the plate to the front of the stove,100.0,0.0862174758669876,1.9571428571428569,27.041836306254066,0.9222224674622218,0.00014167061291421606,0.0005989458356322885,0.0007666265789607894,0.0008885403150218605,0.008506977865915925,0.002222681933598301,0.0030418704677929237,31.55396314409153
libero_goal_6,put the cream cheese in the bowl,100.0,0.08907898423683822,1.9700854700854702,27.047675996152766,0.9149580299217478,0.0001720706255092899,0.0006992897252659943,0.000931114510162415,0.0009946840401262775,0.006749907382699247,0.0019754218225393238,0.0023675309607319324,50.59180826850905
libero_goal_7,turn on the stove,100.0,0.10406952704569059,1.95,26.57896719660078,0.8961567643497672,0.00014280922721029906,0.000592569422600978,0.0009192409685056192,0.0007156580720870156,0.00886263812717516,0.0020127762537283287,0.003364046112879545,56.99780418131837
libero_goal_8,put the bowl on the plate,100.0,0.09965483310765454,1.9625,25.017498861040387,0.8756889348583561,0.0003308840065593748,0.0011459493978344696,0.00149109206914935,0.0016158721177946841,0.012093270300205662,0.003101036181033123,0.004763648908452264,64.90199170360115
libero_goal_9,put the wine bottle on the rack,100.0,0.10784451531698888,1.9846153846153847,24.614444613316998,0.8788752204387178,0.00017927945020447723,0.0007291793732110263,0.000927739270560918,0.0010805193988676837,0.014467494721423923,0.0033432052879927877,0.004999509559067888,41.200245561717566
libero_object_0,pick up the alphabet soup and place it in the basket,100.0,0.10375010403712373,1.9708058608058607,25.779386535337117,0.8614966665628631,0.00018499399032130868,0.0008214994918193923,0.000969374830215818,0.0013101296549210507,0.01038625502174263,0.002599381520553584,0.003442315124292967,67.98580384598905
libero_object_1,pick up the cream cheese and place it in the basket,100.0,0.11607788656575557,1.9643315018315017,24.974181968091607,0.8498710895054069,0.0001758134905353622,0.0008750859511894663,0.001084297884862457,0.0013651464781705793,0.013274964897696357,0.0029852843551340428,0.004701603259090097,65.48965824450761
libero_object_2,pick up the salad dressing and place it in the basket,100.0,0.10287927392531523,1.9754329004329005,26.280290490724305,0.8635435127657212,0.00017928784575724815,0.0008433400058107289,0.0010749591339908205,0.0012757730376841178,0.008633378403436682,0.0022470594919734416,0.0031411109800113467,97.20058481743976
libero_object_3,pick up the bbq sauce and place it in the basket,100.0,0.09786896959999948,1.9627073906485673,26.16232616729768,0.8684801910866865,0.00017825000696859407,0.0007890866517711471,0.0010405413430342372,0.0011484686053106106,0.009286404380603044,0.002359277269381559,0.0033028433818063736,83.25550701829437
