Task,Description,Success Rate (%),Future lpips,Future num_future_frames,Future psnr,Future ssim,Future wavelet_hh_mse,Future wavelet_high_mse,Future wavelet_hl_mse,Future wavelet_lh_mse,Future wavelet_ll_mse,Future wavelet_temporal_high_mse,Future wavelet_temporal_low_mse,Future gfvd
libero_10_0,put both the alphabet soup and the tomato sauce in the basket,100.0,0.1107165170671817,1.9841410256410257,25.718147000797593,0.8747911421237131,0.00015648309808947034,0.0007713392844774681,0.0010637380132527859,0.001093796742090148,0.012129190194087851,0.00283094364268271,0.004250747799854833,46.75032069673263
libero_10_1,put both the cream cheese box and the butter in the basket,100.0,0.1252643269615761,1.9875,25.796233817559823,0.8809031797719241,0.00013179950147915938,0.0007386387865666322,0.0011396575143025152,0.0009444593439182217,0.012482357802249712,0.003032607689129682,0.004087603986167236,45.63533465757373
libero_10_2,turn on the stove and put the moka pot on it,100.0,0.09267107058028606,1.9831212121212118,23.70320804313803,0.8852826042218093,0.00028932302581753243,0.0011357639159590626,0.0014970589651718443,0.0016209097568878118,0.0179342986687023,0.00423401329995141,0.006487043269706734,43.52416747345885
libero_10_3,put the black bowl in the bottom drawer of the cabinet and close it,100.0,0.09685296223881892,1.9766017316017315,25.015290621266217,0.8948744196073835,0.0003370325150622409,0.00110040040278391,0.0015317983121711466,0.0014323703811183427,0.012200034903735326,0.003402148234595558,0.004446597229015244,40.20521757010208
libero_10_4,put the white mug on the left plate and put the yellow and white mug on the right plate,90.0,0.09960739698317117,1.9954545454545454,26.254747772256287,0.9079567849369076,0.00014634778946098046,0.0006405959240494471,0.0009984074807898838,0.0007770325018974771,0.011046752901485764,0.002300211427994081,0.004206930081036827,44.03969700182901
libero_10_5,pick up the book and place it in the back compartment of the caddy,100.0,0.07364569844227166,1.9875,28.974775007942032,0.921971490655571,9.18614335511315e-05,0.0003965905116311877,0.0004263245222940926,0.000671585579048339,0.006274573029863099,0.0012572621176853759,0.0024425016018354896,30.536482111856802
libero_10_6,put the white mug on the plate and put the chocolate pudding to the right of the plate,90.0,0.10142238834258784,1.9913919413919416,25.863288431631258,0.8932373116783925,0.00018419729512601172,0.0007940377389639016,0.0011668302245882401,0.001031085697177453,0.012169920354929595,0.0024485597442867697,0.0048221147812328915,55.45341522701584
libero_10_7,put both the alphabet soup and the cream cheese box in the basket,100.0,0.11183683332264405,1.9916666666666665,26.020512050209625,0.8841190869697861,0.00015481212571179934,0.0007222041198399778,0.0010264622704253819,0.000985337963382752,0.014310474295765919,0.003570691851904645,0.004573384734869205,49.31930680496471
libero_10_8,put both moka pots on the stove,80.0,0.08294819327527278,1.9895411605937923,25.45457563037265,0.9144648977326042,0.00023751725001298316,0.000850528254472537,0.001169142398563513,0.0011449251148411147,0.013108040368477824,0.0025978696337197386,0.005194445999039154,26.438962758087417
libero_10_9,put the yellow and white mug in the microwave and close it,100.0,0.09706213977089352,1.9874855072463766,24.322895904050654,0.9114336087829921,0.00020213386457156043,0.0008152748422353828,0.001050031890223981,0.0011936587719106075,0.01629221767900804,0.004154307434331514,0.005170348649612345,28.74537904983754
libero_goal_0,open the middle drawer of the cabinet,100.0,0.09976856205807803,1.976831501831502,25.15835088907065,0.8828205626873504,0.00025164629862051396,0.0008842150529870474,0.0011945519306269124,0.0012064469297137159,0.011489816769161514,0.003136323641815781,0.0039483405040652494,45.688104393541074
libero_goal_1,put the bowl on the stove,100.0,0.1011606951761577,1.9777777777777779,25.41093232896593,0.8749119569030073,0.0003019225423284095,0.001071337532825796,0.0014750373222341296,0.0014370527339148491,0.01093513276524997,0.0030131524142537574,0.004146780565335777,54.71281392928057
libero_goal_2,put the wine bottle on top of the cabinet,90.0,0.09924745690801906,1.9330555555555555,24.68944307168325,0.8778288119369083,0.0002304801661517154,0.000912592560106094,0.0011184758620462767,0.0013888216521202898,0.01356967840447194,0.003449881867734745,0.004747577245995801,70.0007178981138
libero_goal_3,open the top drawer and put the bowl inside,100.0,0.10054017671954278,1.9783625730994152,24.554692271690705,0.8793530306733229,0.0002633282688498909,0.0010080813435409113,0.0013161783322334952,0.0014447374295393476,0.014190890699090774,0.0035527515699016786,0.005029269417718807,38.90037594639014
libero_goal_4,put the bowl on top of the cabinet,100.0,0.10459520663652155,1.9444444444444442,24.423782481087578,0.8564232472744253,0.00036090504220030403,0.0012678760616499523,0.0016962365197185944,0.001746486623030958,0.012327526575730493,0.00344566119213899,0.004492602611652627,66.7210183756305
libero_goal_5,push the plate to the front of the stove,100.0,0.08960074529392925,1.9708791208791208,26.72870250394493,0.9183293277057972,0.00014657408422443462,0.0006288961815456403,0.0007947304136460499,0.0009453840467664362,0.009257106010784182,0.0024262182157021445,0.0032550484878535553,33.56390777617395
libero_goal_6,put the cream cheese in the bowl,100.0,0.08886968767047565,1.9589743589743591,27.101135799823663,0.9161112078298361,0.00016884501697377423,0.0006885435655983183,0.0009207103706142092,0.0009760753092069715,0.006605585444092743,0.0019603800387509793,0.0022722663125023246,50.29679327285817
libero_goal_7,turn on the stove,100.0,0.10345255777771985,1.9357142857142857,26.730873370170592,0.8969916756664004,0.00013936732644391928,0.0005762582897096719,0.0008843063824835034,0.0007051011602015934,0.008593136097728608,0.0020174927312404008,0.0033687030968611088,54.21409385349546
libero_goal_8,put the bowl on the plate,100.0,0.09944017355197242,1.9625,24.99975188119071,0.8759820000401566,0.0003263720709063429,0.0011348918692809613,0.0014838763144715424,0.001594427222464999,0.012127135866986853,0.003139075833730333,0.004714016045701491,64.7958752999198
libero_goal_9,put the wine bottle on the rack,100.0,0.11024527349437659,1.9620329670329668,24.428079072721708,0.8753786952515223,0.00017942000904613882,0.0007425893845537112,0.0009368517136152434,0.001111496430999751,0.015712722510247808,0.0032548129460493137,0.00553266411999683,39.13765151419196
libero_object_0,pick up the alphabet soup and place it in the basket,100.0,0.10286920411860223,1.9565934065934065,25.705935351927206,0.861927984518446,0.00018747691273757075,0.0008348342099673554,0.0009826618596353233,0.001334363857529172,0.010038945607921183,0.002640834703871762,0.0033991047559965284,70.58330567794629
libero_object_1,pick up the cream cheese and place it in the basket,100.0,0.117935085038211,1.9860576923076922,24.759748939968187,0.8487857166341394,0.00017320129889173991,0.0008786179186364094,0.0010799866018545833,0.0013826658551629044,0.013921260669271879,0.0031078474882681806,0.0051711422291490245,69.34539921816017
libero_object_2,pick up the salad dressing and place it in the basket,100.0,0.10102538206247669,1.9742424242424241,26.448928224679197,0.8664209201480404,0.00017584726604885268,0.0008256151935876749,0.0010352942550636009,0.0012657040596505712,0.007447424328667252,0.002085644107357825,0.00285203197734628,96.68636944846068
libero_object_3,pick up the bbq sauce and place it in the basket,100.0,0.09908221248821693,1.960897435897436,26.017807803231797,0.866580448179812,0.0001767000729060276,0.0007977602403983274,0.001051724003181841,0.0011648566451071135,0.00964611878913096,0.00233110259922052,0.0033765761815602396,81.87530449269111
libero_object_4,pick up the ketchup and place it in the basket,100.0,0.09757893586142377,1.971428571428571,26.359277249919625,0.8639264917046159,0.00017850357421723728,0.0007895215732902667,0.0009242963396083571,0.0012657648060452056,0.008492762950400825,0.002208700182667725,0.0030697085296704464,68.2361304866085
libero_object_5,pick up the tomato sauce and place it in the basket,100.0,0.1303214118221256,1.9697586726998495,24.122051618698443,0.83400602304942,0.0002878976966045986,0.0009371759307417715,0.0012750057410842268,0.0012486243545364894,0.016525334194637455,0.003869932072100367,0.005782930734576842,102.46170974942625
